,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
105,"If the World Was Ending - feat. Julia Michaels","JP Saxe",975613,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
106,Falling,"Trevor Daniel",974200,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
107,"Life Is Good (feat. Drake)",Future,971593,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
108,"Say You Won't Let Go","James Arthur",967656,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
109,"bad guy","Billie Eilish",966142,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
110,"Dreams - 2004 Remaster","Fleetwood Mac",960498,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
111,"Stuck with U (with Justin Bieber)","Ariana Grande",959079,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
112,"Jocelyn Flores",XXXTENTACION,950429,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
113,"Break My Heart","Dua Lipa",950053,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
114,Believer,"Imagine Dragons",947703,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
115,Tusa,"KAROL G",946485,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
116,"Somebody’s Problem","Morgan Wallen",940769,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
117,"Way Out (feat. Big Sean)","Jack Harlow",930234,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
118,"Tattoo - Remix with Camilo","Rauw Alejandro",927092,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
119,Shallow,"Lady Gaga",922485,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
120,"Chemtrails Over The Country Club","Lana Del Rey",921623,https://open.spotify.com/track/1PZDyestTVydtHpaIcfUJg
121,Falling,"Harry Styles",916798,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
122,"my ex's best friend (with blackbear)","Machine Gun Kelly",911667,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
123,Sofia,Clairo,909827,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
124,Vibez,ZAYN,909000,https://open.spotify.com/track/709F3MwiVvLD0LQXeKs5Cz
125,"Midnight Sky","Miley Cyrus",904789,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
126,"All Girls Are The Same","Juice WRLD",903883,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
127,"Why'd You Only Call Me When You're High?","Arctic Monkeys",903442,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
128,"Mood Swings (feat. Lil Tjay)","Pop Smoke",890302,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
129,Despeinada,Ozuna,888752,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
130,Hayloft,"Mother Mother",886305,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
131,Streets,"Doja Cat",885395,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
132,"Tyler Herro","Jack Harlow",881747,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
133,Perfect,"Ed Sheeran",880063,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
134,"Ride It",Regard,873376,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
135,Dior,"Pop Smoke",872476,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
136,"POPSTAR (feat. Drake)","DJ Khaled",867630,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
137,"champagne problems","Taylor Swift",862069,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
138,Maniac,"Conan Gray",860644,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
139,"How You Like That",BLACKPINK,857659,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
140,"7 rings","Ariana Grande",853900,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
141,"Godzilla (feat. Juice WRLD)",Eminem,853860,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
142,"In Your Eyes","The Weeknd",849343,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
143,"Do I Wanna Know?","Arctic Monkeys",824256,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
144,"SICKO MODE","Travis Scott",817439,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
145,"Intentions (feat. Quavo)","Justin Bieber",816531,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
146,ROXANNE,"Arizona Zervas",811997,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
147,"Shape of You","Ed Sheeran",811662,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
148,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",811048,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
149,"Deep End",Fousheé,809840,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
150,SAD!,XXXTENTACION,808872,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"BOOKER T","Bad Bunny",808388,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
152,"everything i wanted","Billie Eilish",806321,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
153,"ily (i love you baby) (feat. Emilee)","Surf Mesa",802847,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
154,"Hawái - Remix",Maluma,798711,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
155,"Mi Cuarto","Jerry Di",797825,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
156,Yellow,Coldplay,790904,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
157,"La Jeepeta - Remix","Nio Garcia",790068,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
158,"All of Me","John Legend",788219,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
159,"Toosie Slide",Drake,778942,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
160,"hot girl bummer",blackbear,775898,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
161,"Someone To You",BANNERS,771915,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
162,"Bohemian Rhapsody - Remastered 2011",Queen,768280,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
163,"Star Shopping","Lil Peep",764508,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
164,"Say So","Doja Cat",764479,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
165,Diamonds,"Sam Smith",754723,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
166,"Electric Love",BØRNS,752750,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
167,"Ponte Pa' Mi","Justin Quiles",746898,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
168,"I Don't Care (with Justin Bieber)","Ed Sheeran",745096,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
169,"No Te Enamores - Remix",Milly,735869,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
170,"Go Crazy","Chris Brown",735636,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
171,"Lovesick Girls",BLACKPINK,729459,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
172,"Without Me",Halsey,727738,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
173,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",727290,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
174,"Be Alright","Dean Lewis",722641,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
175,"Smells Like Teen Spirit",Nirvana,716943,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
176,"when the party's over","Billie Eilish",716165,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
177,"Tú Me Dejaste De Querer","C. Tangana",715915,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
178,"Kings & Queens","Ava Max",715778,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
179,"Si Me Tomo Una Cerveza",Migrantes,714785,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
180,"De Cora <3","Rauw Alejandro",711782,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
181,"Take Me To Church",Hozier,709592,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
182,"Be Kind (with Halsey)",Marshmello,707428,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
183,July,"Noah Cyrus",705897,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
184,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",702691,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
185,"Everybody Dies In Their Nightmares",XXXTENTACION,702514,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
186,"MODO TURBO","Luísa Sonza",701861,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
187,"rockstar (feat. 21 Savage)","Post Malone",700192,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
188,"Fly Away","Tones And I",697710,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
189,"Dancing in My Room",347aidan,696286,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
190,"HACIENDO QUE ME AMAS","Bad Bunny",696116,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
191,"The Less I Know The Better","Tame Impala",695576,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
192,"La Luz",Sech,689291,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
193,"Ice Cream (with Selena Gomez)",BLACKPINK,687781,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
194,Caramelo,Ozuna,687007,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
195,Moonlight,XXXTENTACION,686097,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
196,"Remember That Night?","Sara Kays",683614,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
197,"Thinking out Loud","Ed Sheeran",682987,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
198,Fever,"Dua Lipa",681622,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
199,"10,000 Hours (with Justin Bieber)","Dan + Shay",680509,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
200,Photograph,"Ed Sheeran",680454,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
